"","Precinct","RegisteredVoters","BallotsCase","Turnout","GovernorDem","GovernorRep","GovernorOther","SecretaryofStateDem","SecretaryofStateRep","SecretaryofStateOther","AttorneyGeneralDem","AttorneyGeneralRep","AttorneyGeneralOther","USSenateDem","USSenateRep","USSenateOther","USHouseDem","USHouseRep","USHouseOther","MISenateDem","MISenateRep","MISenateOther","MIHouseDem","MIHouseRep","MIHouseOther","MIBoardofEdDem","MIBoardofEdRep","MIBoardofEdOther","UofMRegentDem","UofMRegentRep","UofMRegentOther","MSUTrusteeDem","MSUTrusteeRep","MSUTrusteeOther","WSUGovernorDem","WSUGovernorRep","WSUGovernorOther","KCCDem","KCCRep","KCCOther","geo_id"
"88","Grand Rapids Ward 2 Precinct 25",1324,797,0.6,620,129,42,631,120,34,595,129,48,603,146,38,601,161,15,605,133,37,617,116,34,1011,223,138,965,213,128,989,210,103,954,217,92,603,133,0,88
"89","Grand Rapids Ward 2 Precinct 26",1710,1009,0.59,658,311,30,642,312,29,587,333,44,625,338,29,600,362,22,641,309,28,634,329,0,1029,527,154,996,532,119,999,513,127,983,509,100,599,326,0,89
"90","Grand Rapids Ward 2 Precinct 27",1297,757,0.58,519,192,38,511,191,41,456,209,59,506,218,22,467,258,18,503,206,30,533,178,15,781,313,161,762,311,118,765,305,113,743,288,113,493,197,0,90
"91","Grand Rapids Ward 2 Precinct 28",2027,1159,0.57,798,299,51,772,300,61,725,328,70,765,325,48,724,378,19,779,307,45,783,325,0,1275,510,227,1207,531,188,1241,496,179,1196,517,142,725,329,0,91
"92","Grand Rapids Ward 2 Precinct 29",1926,806,0.41,586,171,39,573,162,46,550,169,54,546,199,40,547,210,21,566,170,35,555,163,41,898,277,159,860,278,138,862,285,122,849,280,97,556,176,0,92
"93","Grand Rapids Ward 2 Precinct 30",1694,1248,0.73,870,325,43,863,327,39,797,349,68,838,368,31,805,408,14,828,372,29,881,305,24,1454,578,140,1336,587,133,1406,526,124,1342,533,85,759,379,0,93
"94","Grand Rapids Ward 2 Precinct 31",2277,1205,0.52,794,321,76,796,306,68,714,337,96,774,343,62,765,365,35,797,308,62,819,324,0,1271,484,254,1199,489,217,1231,470,194,1173,482,170,742,328,0,94
"95","Grand Rapids Ward 2 Precinct 32",1428,746,0.52,535,173,32,538,159,36,501,177,49,520,191,26,496,214,11,525,179,28,523,165,25,847,283,129,815,284,100,843,278,90,809,276,88,492,178,0,95
"96","Grand Rapids Ward 2 Precinct 33",1072,742,0.69,562,151,22,548,152,22,534,151,27,544,167,20,540,177,3,557,155,13,558,149,0,933,269,89,886,241,87,915,245,69,883,243,56,517,146,0,96
"97","Grand Rapids Ward 2 Precinct 34",2128,1248,0.58,827,364,36,825,355,38,757,392,57,804,393,29,753,434,23,796,369,44,808,352,27,1312,614,171,1295,610,124,1300,592,114,1270,603,106,737,378,0,97
"98","Grand Rapids Ward 2 Precinct 35",1960,1356,0.69,775,523,45,770,526,31,704,536,66,764,547,26,722,584,20,766,531,28,743,551,0,1311,890,168,1230,869,144,1253,841,144,1211,844,118,726,522,0,98
"99","Grand Rapids Ward 2 Precinct 36",1025,560,0.54,331,189,29,332,177,28,292,198,34,317,201,31,304,217,18,322,184,31,330,179,22,524,314,106,494,310,81,489,309,90,471,316,75,311,202,0,99
"100","Grand Rapids Ward 2 Precinct 37",2460,1636,0.66,969,597,52,949,589,54,884,613,81,935,639,39,875,687,29,965,583,34,915,635,0,1528,1028,215,1449,1026,182,1463,999,175,1403,1007,137,892,602,0,100
