TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,"AndreaFischer
          Newman  (REP)
        ","Andrew
          Richner (REP)
        ","Jordan
          Acker (DEM)
        ","Paul
          Brown (DEM)
        ","JamesLewis
          Hudler (LIB)
        ","John
          Jascob (LIB)
        ","Joe
          Sanger (UST)
        ","CrystalVan
          Sickle (UST)
        ","KevinA.
          Graves (GRN)
        ","MargeKatchmark
          Sallows (NLP)
        ",WriteIn
Wyoming  Ward 2  Precinct 10,1478,665,44%,200,182,297,301,15,14,16,20,17,13,2
Wyoming  Ward 2  Precinct 11,1351,568,42%,127,118,281,279,16,15,13,17,21,11,4
Wyoming  Ward 2  Precinct 12,1280,508,39%,151,134,234,220,14,14,8,17,11,9,4
Wyoming  Ward 2  Precinct 13,1666,873,52%,315,285,349,328,24,21,19,20,19,12,3
Wyoming  Ward 2  Precinct 14,1166,666,57%,282,298,218,202,25,15,10,24,12,9,3
Wyoming  Ward 2  Precinct 15,968,530,54%,190,178,211,188,22,17,8,20,12,7,1
Wyoming  Ward 2  Precinct 16,1352,771,57%,329,290,276,242,27,23,7,21,15,13,3
Wyoming  Ward 2  Precinct 17,1923,793,41%,229,206,382,371,21,19,3,16,15,16,8
Wyoming  Ward 2  Precinct 18,1211,667,55%,242,207,261,249,23,18,7,12,14,11,3
Wyoming  Ward 2  Precinct 19,1853,1047,56%,360,341,442,416,20,22,19,39,27,21,6
Wyoming  Ward 2  Precinct 20,1939,1002,51%,332,309,417,388,26,32,16,37,25,19,7
Wyoming  Ward 3  Precinct 21,2306,1266,54%,513,474,454,430,28,30,17,34,25,18,8
Wyoming  Ward 3  Precinct 22,1327,781,58%,309,297,299,276,17,16,10,19,16,11,3
Wyoming  Ward 3  Precinct 23,2223,1060,47%,364,334,457,433,29,32,14,25,30,23,9
Wyoming  Ward 3  Precinct 24,2330,1202,51%,474,439,462,415,39,35,21,28,27,22,5
Wyoming  Ward 3  Precinct 25,1673,1175,70%,605,582,337,309,22,27,15,22,21,18,1
Wyoming  Ward 3  Precinct 26,1254,791,63%,326,327,295,283,24,18,6,10,10,9,6
Wyoming  Ward 3  Precinct 27,1233,767,62%,342,329,264,243,19,18,6,11,5,5,4
Wyoming  Ward 3  Precinct 28,1984,1344,67%,670,646,408,390,27,28,21,29,16,15,10
Wyoming  Ward 3  Precinct 29,1566,1104,70%,568,517,336,314,16,16,12,24,9,13,5
Wyoming  Ward 3  Precinct 30,1989,1405,70%,769,739,354,344,25,22,8,20,13,18,13
