TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamuelBagenstos,MeganKathleenCavanagh,ElizabethT.Clement,DougDern,KerryLeeMorgan,KurtisT.Wilder,WriteIn
Kentwood  Ward 2  Precinct 16,2612,1825,69%,361,642,890,40,92,837,18
Kentwood  Ward 2  Precinct 17,1674,765,45%,145,276,368,21,79,239,7
Kentwood  Ward 2  Precinct 18,2017,1003,49%,129,372,491,55,98,286,19
Lowell  Precinct 1,1606,965,60%,101,266,573,67,83,378,16
Lowell  Precinct 2,1377,738,53%,78,191,338,78,90,318,6
Lowell Charter Township  Precinct 1,2438,1661,68%,188,415,914,96,144,733,9
Lowell Charter Township  Precinct 2,2269,1350,59%,157,380,607,103,149,591,14
Nelson Township  Precinct 1,2306,1112,48%,88,278,456,44,179,517,8
Nelson Township  Precinct 2,1580,968,61%,98,232,451,30,46,513,17
Oakfield Township  Precinct 1,1557,983,63%,144,342,480,52,74,399,16
Oakfield Township  Precinct 2,1812,1080,59%,82,403,578,78,92,434,12
Oakfield Township  Precinct 3 ,1321,783,59%,71,182,450,59,84,344,11
Plainfield Charter Township  Precinct 1,2614,1944,74%,257,542,956,121,151,870,14
Plainfield Charter Township  Precinct 2,2249,1437,63%,162,431,652,38,156,680,20
Plainfield Charter Township  Precinct 3,2112,1215,57%,179,462,568,45,84,516,10
Plainfield Charter Township  Precinct 4,2300,1467,63%,258,539,741,62,93,521,16
Plainfield Charter Township  Precinct 5,2123,1393,65%,164,525,722,78,125,505,12
Plainfield Charter Township  Precinct 6,3012,2043,67%,214,483,1213,125,150,923,21
Plainfield Charter Township  Precinct 7,2717,1948,71%,257,561,1080,110,168,938,11
Plainfield Charter Township  Precinct 8,2819,1909,67%,310,620,946,52,187,815,25
Plainfield Charter Township  Precinct 9,2445,1611,65%,234,523,763,49,96,793,8
Plainfield Charter Township  Precinct 10,1777,1345,75%,207,455,683,57,84,546,9
Plainfield Charter Township  Precinct 11,1706,1286,75%,164,461,729,63,85,533,7
Rockford  Precinct 1,1866,1204,64%,218,401,540,27,141,514,7
Rockford  Precinct 2,2510,1730,68%,262,557,820,49,72,737,18
Solon Township  Precinct 1,1814,1095,60%,85,233,642,96,89,490,9
Solon Township  Precinct 2,2765,1630,58%,127,399,771,143,193,774,11
Sparta Township  Precinct 1,2898,1650,56%,158,465,775,60,220,758,16
Sparta Township  Precinct 2,1516,912,60%,92,222,475,20,52,497,4
Sparta Township  Precinct 3,1969,1135,57%,148,368,582,52,79,470,9
Spencer Township  Precinct 1,2952,1803,61%,136,638,926,111,128,753,19
Tyrone Township  Precinct 1,1760,1063,60%,83,221,619,71,86,508,15
Tyrone Township  Precinct 2,1401,819,58%,45,212,414,70,99,417,9
Vergennes Township  Precinct 1,1870,1365,72%,150,351,643,27,141,675,12
Vergennes Township  Precinct 2,1653,1167,70%,139,340,600,21,48,613,17
Walker  Ward 1  Precinct 1,2037,997,48%,222,366,460,46,105,307,18
Walker  Ward 1  Precinct 2,1733,1176,67%,123,447,648,56,90,454,3
Walker  Ward 1  Precinct 3,1996,1316,65%,169,348,751,82,125,523,18
Walker  Ward 2  Precinct 4,2243,1567,69%,158,436,739,121,150,684,10
Walker  Ward 2  Precinct 5,1904,1341,70%,161,360,599,48,160,648,9
Walker  Ward 2  Precinct 6,1880,1193,63%,171,384,572,46,54,552,5
Walker  Ward 3  Precinct 7,1966,1352,68%,237,467,666,61,87,508,14
Walker  Ward 3  Precinct 8,1759,1268,72%,130,390,711,69,71,567,5
Walker  Ward 3  Precinct 9,1981,1274,64%,175,322,736,90,137,507,11
Wyoming  Ward 1  Precinct 1,1870,915,48%,136,297,409,72,119,342,13
Wyoming  Ward 1  Precinct 2,1311,535,40%,85,165,213,22,93,194,6
