TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Tami Carlone (REP),Richard Zeile (REP),Judith P. Pritchett (DEM),Tiffany Tilley (DEM),Scotty Boman (LIB),John J. Tatar (LIB),Karen Adams (UST),Douglas Levesque (UST),Sherry A. Wells (GRN),Mary Anne Hering (WCP),Logan R. Smith (WCP),WriteIn
Plainfield Charter Township Precinct 1,2614,1944,74%,955,887,631,599,68,38,26,14,37,41,24,8
Plainfield Charter Township Precinct 2,2249,1437,63%,706,636,467,454,59,28,26,1,10,37,38,11
Plainfield Charter Township Precinct 3,2112,1215,57%,458,418,472,445,51,36,26,13,34,58,35,5
Plainfield Charter Township Precinct 4,2300,1467,63%,623,576,558,539,51,38,21,4,24,55,35,1
Plainfield Charter Township Precinct 5,2123,1393,65%,572,526,537,506,54,42,29,17,23,45,29,5
Plainfield Charter Township Precinct 6,3012,2043,67%,1062,951,648,594,61,47,28,13,32,64,46,3
Plainfield Charter Township Precinct 7,2717,1948,71%,1021,956,682,647,57,35,10,6,23,29,21,5
Plainfield Charter Township Precinct 8,2819,1909,67%,818,743,741,706,72,46,24,10,34,48,41,7
Plainfield Charter Township Precinct 9,2445,1611,65%,756,710,545,515,47,37,20,8,24,70,46,2
Plainfield Charter Township Precinct 10,1777,1345,75%,667,607,429,412,53,26,13,7,27,32,28,3
Plainfield Charter Township Precinct 11,1706,1286,75%,631,581,442,421,54,34,16,11,20,32,20,1
Rockford Precinct 1,1866,1204,64%,495,447,478,436,44,27,16,8,20,33,26,3
Rockford Precinct 2,2510,1730,68%,745,675,686,656,59,34,14,2,17,34,18,9
Solon Township Precinct 1,1814,1095,60%,587,512,280,284,31,26,30,11,13,27,29,0
Solon Township Precinct 2,2765,1630,58%,859,779,402,367,67,47,36,13,25,77,52,8
Sparta Township Precinct 1,2898,1650,56%,694,642,520,496,63,63,44,19,34,78,60,6
Sparta Township Precinct 2,1516,912,60%,496,462,227,208,33,15,24,7,13,25,30,2
Sparta Township Precinct 3,1969,1135,57%,576,521,298,281,37,27,18,8,14,52,40,5
Spencer Township Precinct 1,2952,1803,61%,975,860,473,434,52,39,23,14,26,55,50,11
Tyrone Township Precinct 1,1760,1063,60%,576,522,247,240,23,19,31,15,15,49,46,2
Tyrone Township Precinct 2,1401,819,58%,449,397,202,203,17,11,19,11,16,35,14,3
Vergennes Township Precinct 1,1870,1365,72%,759,704,371,357,42,22,23,13,13,25,16,3
Vergennes Township Precinct 2,1653,1167,70%,614,556,356,344,25,21,14,9,9,34,22,6
Walker Ward 1 Precinct 1,2037,997,48%,310,280,464,470,43,29,18,8,27,48,37,8
Walker Ward 1 Precinct 2,1733,1176,67%,520,484,432,403,40,24,16,7,19,35,27,0
Walker Ward 1 Precinct 3,1996,1316,65%,515,475,530,528,52,37,28,10,20,42,31,11
Walker Ward 2 Precinct 4,2243,1567,69%,776,694,498,477,43,37,24,14,11,41,24,5
Walker Ward 2 Precinct 5,1904,1341,70%,637,602,420,394,45,27,21,7,15,35,16,2
Walker Ward 2 Precinct 6,1880,1193,63%,528,497,401,386,46,27,23,9,13,36,30,2
Walker Ward 3 Precinct 7,1966,1352,68%,566,522,500,487,50,37,20,6,17,28,31,3
Walker Ward 3 Precinct 8,1759,1268,72%,690,653,355,330,36,29,23,6,9,30,23,2
Walker Ward 3 Precinct 9,1981,1274,64%,575,524,485,459,43,24,17,6,27,36,22,3
Wyoming Ward 1 Precinct 1,1870,915,48%,309,259,405,395,25,20,23,3,13,48,28,4
Wyoming Ward 1 Precinct 2,1311,535,40%,153,134,239,225,15,7,12,6,16,31,21,4
Wyoming Ward 1 Precinct 3,2130,940,44%,280,244,437,398,26,22,20,6,19,42,29,5
Wyoming Ward 1 Precinct 4,2019,1071,53%,406,375,429,391,25,27,14,6,22,49,29,3
Wyoming Ward 1 Precinct 5,2086,1037,49%,344,299,461,437,35,8,24,10,14,47,34,2
Wyoming Ward 1 Precinct 6,1502,729,48%,233,192,340,324,18,17,19,10,16,35,31,5
Wyoming Ward 1 Precinct 7,1890,1143,60%,551,513,401,365,36,28,12,2,17,25,22,3
Wyoming Ward 1 Precinct 8,1230,576,46%,208,176,221,210,25,15,6,2,7,30,15,1
