TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Bill Schuette / Lisa Posthumus Lyons (REP),"Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
",Bill Gelineau / Angelique Chaiser Thomas (LIB),Todd Schleiger / Earl P. Lackie (UST),Jennifer V. Kurland / Charin H. Davenport (GRN),Keith Butkovich / Raymond Warner (NLP),Write In
Grand Rapids Charter Township Precinct 7,1043,669,64%,338,309,11,1,5,1,1
Grand Rapids Charter Township Precinct 8,1783,1300,72%,651,612,14,3,6,1,1
Grand Rapids Charter Township Precinct 9,1156,892,77%,517,349,9,3,2,0,2
Grandville Precinct 1,1577,1029,65%,539,444,17,7,12,2,2
Grandville Precinct 2,2014,1232,61%,648,534,21,5,11,1,1
Grandville Precinct 3,2197,1391,63%,796,519,39,8,7,3,2
Grandville Precinct 4,1979,1483,74%,853,580,22,9,9,1,1
Grandville Precinct 5,2147,1489,69%,881,567,14,7,5,0,3
Grandville Precinct 6,1655,1182,71%,699,440,20,3,4,4,3
Grattan Township Precinct 1,1502,993,66%,638,321,16,4,3,1,1
Grattan Township Precinct 2,1598,1133,70%,617,479,10,5,7,6,0
Kentwood Ward 1 Precinct 1,2072,1009,48%,443,532,9,7,3,2,1
Kentwood Ward 1 Precinct 2,2787,1711,61%,709,912,41,10,17,3,4
Kentwood Ward 1 Precinct 3,1524,971,63%,428,502,14,6,2,2,3
Kentwood Ward 1 Precinct 4,1385,654,47%,231,382,13,4,9,1,2
Kentwood Ward 1 Precinct 5,1192,647,54%,290,321,14,4,8,0,2
Kentwood Ward 1 Precinct 6,2226,1085,48%,463,564,12,11,13,4,1
Kentwood Ward 1 Precinct 7,1944,1075,55%,380,649,20,7,10,2,1
Kentwood Ward 1 Precinct 8,2348,1578,67%,730,797,18,3,8,2,4
Kentwood Ward 1 Precinct 9,2145,1150,53%,425,666,19,8,9,6,0
Kentwood Ward 2 Precinct 10,2150,1401,65%,569,783,22,6,7,1,1
Kentwood Ward 2 Precinct 11,2803,1759,62%,709,992,19,7,7,1,1
Kentwood Ward 2 Precinct 12,1551,929,59%,313,576,16,5,10,0,0
Kentwood Ward 2 Precinct 13,2030,1207,59%,550,618,11,3,5,2,0
Kentwood Ward 2 Precinct 14,787,514,65%,214,274,9,3,9,1,0
Kentwood Ward 2 Precinct 15,2618,1231,47%,299,876,18,5,18,1,4
Kentwood Ward 2 Precinct 16,2612,1825,69%,825,951,17,4,12,4,3
Kentwood Ward 2 Precinct 17,1674,765,45%,232,506,6,0,8,2,0
Kentwood Ward 2 Precinct 18,2017,1003,49%,299,646,21,2,15,2,1
Lowell Precinct 1,1606,965,60%,425,484,33,4,8,4,4
Lowell Precinct 2,1377,738,53%,370,331,15,6,6,1,1
Lowell Charter Township Precinct 1,2438,1661,68%,991,595,31,11,10,3,0
Lowell Charter Township Precinct 2,2269,1350,59%,693,571,46,6,16,4,3
Nelson Township Precinct 1,2306,1112,48%,656,395,25,9,11,5,2
Nelson Township Precinct 2,1580,968,61%,592,331,12,8,6,1,2
Oakfield Township Precinct 1,1557,983,63%,547,397,17,8,5,0,0
Oakfield Township Precinct 2,1812,1080,59%,646,389,12,6,9,3,0
Oakfield Township Precinct 3 ,1321,783,59%,435,313,16,6,5,0,1
Plainfield Charter Township Precinct 1,2614,1944,74%,1076,793,25,10,13,3,1
Plainfield Charter Township Precinct 2,2249,1437,63%,767,608,22,7,10,1,7
Plainfield Charter Township Precinct 3,2112,1215,57%,543,596,36,9,12,2,0
Plainfield Charter Township Precinct 4,2300,1467,63%,686,714,31,6,7,3,2
Plainfield Charter Township Precinct 5,2123,1393,65%,643,671,32,18,10,2,4
Plainfield Charter Township Precinct 6,3012,2043,67%,1149,814,32,12,14,2,3
Plainfield Charter Township Precinct 7,2717,1948,71%,1084,810,30,5,3,2,1
Plainfield Charter Township Precinct 8,2819,1909,67%,905,925,34,9,9,5,2
Plainfield Charter Township Precinct 9,2445,1611,65%,832,714,25,10,13,1,1
Plainfield Charter Township Precinct 10,1777,1345,75%,743,559,18,1,10,3,2
Plainfield Charter Township Precinct 11,1706,1286,75%,697,539,24,14,5,0,0
Rockford Precinct 1,1866,1204,64%,564,591,17,10,5,0,3
Rockford Precinct 2,2510,1730,68%,829,826,36,12,8,2,1
Solon Township Precinct 1,1814,1095,60%,648,388,27,14,2,1,0
Solon Township Precinct 2,2765,1630,58%,1013,532,40,8,13,7,1
Sparta Township Precinct 1,2898,1650,56%,832,691,51,26,18,4,2
Sparta Township Precinct 2,1516,912,60%,576,302,11,5,7,3,0
Sparta Township Precinct 3,1969,1135,57%,660,408,25,11,8,7,1
Spencer Township Precinct 1,2952,1803,61%,1096,628,28,12,14,5,6
Tyrone Township Precinct 1,1760,1063,60%,684,322,16,13,10,4,3
Tyrone Township Precinct 2,1401,819,58%,516,273,7,4,5,1,3
Vergennes Township Precinct 1,1870,1365,72%,851,463,24,3,5,4,1
Vergennes Township Precinct 2,1653,1167,70%,683,443,16,3,4,4,1
Walker Ward 1 Precinct 1,2037,997,48%,352,586,28,5,12,3,3
Walker Ward 1 Precinct 2,1733,1176,67%,593,533,19,5,10,1,1
Walker Ward 1 Precinct 3,1996,1316,65%,575,673,32,6,10,5,2
Walker Ward 2 Precinct 4,2243,1567,69%,902,624,16,3,9,2,1
Walker Ward 2 Precinct 5,1904,1341,70%,720,566,22,8,10,4,0
Walker Ward 2 Precinct 6,1880,1193,63%,611,510,21,13,11,4,3
Walker Ward 3 Precinct 7,1966,1352,68%,645,631,34,6,11,2,3
Walker Ward 3 Precinct 8,1759,1268,72%,772,446,18,4,6,2,4
Walker Ward 3 Precinct 9,1981,1274,64%,632,595,24,5,10,0,1
Wyoming Ward 1 Precinct 1,1870,915,48%,341,534,15,10,4,3,0
Wyoming Ward 1 Precinct 2,1311,535,40%,192,302,7,7,14,4,1
Wyoming Ward 1 Precinct 3,2130,940,44%,315,576,18,7,10,4,2
Wyoming Ward 1 Precinct 4,2019,1071,53%,479,548,15,2,14,3,2
Wyoming Ward 1 Precinct 5,2086,1037,49%,394,575,22,11,11,4,4
Wyoming Ward 1 Precinct 6,1502,729,48%,265,411,21,13,7,1,2
Wyoming Ward 1 Precinct 7,1890,1143,60%,612,482,24,9,6,3,1
Wyoming Ward 1 Precinct 8,1230,576,46%,254,288,18,4,4,0,1
Wyoming Ward 1 Precinct 9,2268,1029,45%,368,594,13,16,13,7,1
Wyoming Ward 2 Precinct 10,1478,665,44%,231,396,10,4,12,4,0
Wyoming Ward 2 Precinct 11,1351,568,42%,152,376,18,4,10,4,1
Wyoming Ward 2 Precinct 12,1280,508,39%,171,301,12,3,6,4,1
Wyoming Ward 2 Precinct 13,1666,873,52%,364,453,17,11,14,5,0
Wyoming Ward 2 Precinct 14,1166,666,57%,329,299,14,4,8,2,0
Wyoming Ward 2 Precinct 15,968,530,54%,219,279,21,2,2,0,0
Wyoming Ward 2 Precinct 16,1352,771,57%,355,373,17,4,9,2,3
Wyoming Ward 2 Precinct 17,1923,793,41%,252,503,16,3,12,1,1
Wyoming Ward 2 Precinct 18,1211,667,55%,276,359,15,3,6,2,0
Wyoming Ward 2 Precinct 19,1853,1047,56%,420,563,29,6,12,3,3
Wyoming Ward 2 Precinct 20,1939,1002,51%,408,527,29,13,7,2,3
Wyoming Ward 3 Precinct 21,2306,1266,54%,606,585,31,5,12,5,1
Wyoming Ward 3 Precinct 22,1327,781,58%,352,390,11,8,7,1,0
Wyoming Ward 3 Precinct 23,2223,1060,47%,390,607,28,4,18,1,1
Wyoming Ward 3 Precinct 24,2330,1202,51%,547,595,28,7,5,4,1
Wyoming Ward 3 Precinct 25,1673,1175,70%,681,453,21,4,5,0,0
Wyoming Ward 3 Precinct 26,1254,791,63%,371,386,18,3,1,0,3
Wyoming Ward 3 Precinct 27,1233,767,62%,404,336,16,2,5,2,0
Wyoming Ward 3 Precinct 28,1984,1344,67%,767,535,16,6,9,2,1
Wyoming Ward 3 Precinct 29,1566,1104,70%,627,446,12,4,4,1,0
Wyoming Ward 3 Precinct 30,1989,1405,70%,853,514,15,5,5,0,1
